form,sid,alt,de_text
setzen,2814073,3425149;7448629;901137,Setzen Sie Ihre Unterschrift oberhalb dieser Linie!
kostet,664049,3243962;12885949;4755810,Diese Puppe kostet nur sechzig Cent.
preis,444018,10823987;2894447;10823983,Der Preis des Bildes beträgt 10 Pfund.
verheiratet,13963180,13963191;742528;911984,Waren Adam und Eva verheiratet?
paris,6971886,10157937;12849264;7253678,In Paris galt Benjamin Franklin als ein Hinterwald-Voltaire.
lösen,12279206,2811684;5570327;3752004,Eine Laseroperation kann bestimmte Arten von Sehproblemen lösen.
hut,448930,4510207;5956635;9981320,Er drückte meinen Hut platt.
wütend,719077,12331219;12986568;543596,Farblose grüne Ideen schlafen wütend.
böse,4891276,8372317;10564073;11933033,Tom unterstellte mir böse Absichten.
verliebt,399494,6974772;6084306;6333161,"Wirke ich verliebt, wenn ich rede?"
halb,11470443,11470444;12985632;8100671,"Ich bin halb Ungarin, halb Polin."
kunst,1034415,2403788;1917471;7465832,Die Fachbibliotheken sammeln Schriften zur Kunst.
heiß,5322022,6819718;3560477;3063659,Im Juli ist es üblicherweise heiß.
fleisch,1833080,2407976;6725101;5742016,Im warmen Klima verdirbt Fleisch schnell.
heraus,511903,701072;12859362;1613560,Linda streckte die Zunge heraus.
kleid,6298579,6774851;8262954;353282,Ihr rotes Kleid war einzigartig.
ort,6145956,370901;13070118;13969831,Die Banken sind vor Ort reichlich vertreten.
entscheidung,3143299,6667421;916214;8300305,Stellst du meine Entscheidung infrage?
fing,839713,10187063;2572845;13602818,Er fing sich Montezumas Rache.
brachte,8786851,1951229;380840;7797270,Er brachte seinen Gästen Getränke.
ordnung,1311127,1966720;5426269;2761980,"Genies beherrschen das Chaos, nur Dumme halten Ordnung."
schnee,3154604,4867150;6595935;2209575,Der Schnee glänzte in der Morgensonne.
gesundheit,13696648,595636;3885898;8861737,Stress am Arbeitsplatz beeinträchtigt die Gesundheit.
weinen,2277853,3541833;819497;3835424,"Lache, wenn's nicht zum Weinen reicht."
hotel,9474838,2201721;4540360;13819495,Das Hotel ist bestenfalls zweitklassig.
chef,1538106,2147684;8054146;12183633,Toms Chef fordert viel Arbeitseinsatz.
herum,360582,3995776;9968601;1929703,Du trägst deinen Pullover verkehrt herum.
dessen,10572196,8089819;11271369;2915106,"Wer seine Argumente nicht gründlich begründet, dessen Glaubwürdigkeit schwindet."
situation,2804343,3231961;6150547;2379019,Wird die Krise die Situation verändern?
erreichen,2842467,6774079;12432409;6175332,Wertehaltungen erreichen wir kommunikativ und nicht autoritär.
dumm,3013809,1249392;4895362;7026270,Macht uns die moderne Technik dumm?
prüfung,756069,14013175;2132603;2169923,Die Schüler protestierten gegen die unfaire Prüfung.
staaten,733208,12432479;4645507;764922,Die Vereinigten Staaten pflegen enge Verbindungen zu Mexiko.
stück,4762469,4181864;10172262;2116221,Ein verbranntes Stück Holz brennt von Neuem.
desto,1604934,1984847;10811996;605425,"Je mehr Gesetze, desto mehr Nichtbeachter."
dreißig,2338135,1045227;12925467;2351764,Das tatsächliche Volumen des Lasters beträgt dreißig Kubikmeter.
angekommen,2344895,888408;7876131;12092105,Es ist ein Ausschuss Abgeordneter angekommen.
mama,3556127,7603296;9700275;5990176,Mama hat den Esstisch gedeckt.
hausaufgaben,4115420,6196861;2229471;356083,Sie erledigte ihre Hausaufgaben im Handumdrehen.
tasche,9476445,5614105;11934451;11934452,Diese Tasche kostete sechs Pfund.
freue,7883021,10826174;10826175;12415790,Ich freue mich über Korrekturen.
antworten,11995367,13569856;8208471;2869590,Schreib deine Antworten mit Bleistift.
benutzen,10560524,4922871;1853930;682588,Bitte ausschließlich der Anleitung entsprechend benutzen.
raum,13708453,13904106;400438;1340232,Im Raum herrschte eine ohrenbetäubende Stille.
hoffnung,1784204,1917689;5388622;2330467,Die Hoffnung stirbt bekanntlich zuletzt!
bekannt,7340687,787622;13440459;13440460,Bislang sind keine Nebenwirkungen bekannt.
gestohlen,13563613,2418459;11934470;11934471,"Sie verpfändete den Schmuck, den sie gestohlen hatte."
dorf,1717041,3246107;5346893;13453620,Eine Schlammlawine zerstörte ein österreichisches Dorf.
ernst,6171859,601497;704600;3868005,Konstantin Ernst war Gestaltungsdirektor der Olympischen Winterspiele 2014 in Sotschi.
aufhören,5972063,6642245;10307836;413222,Dieses Geschrei muss sofort aufhören!
verrückt,2783472,11854581;7277785;7335480,Das Häuschen war verrückt und gänzlich auseinandergebrochen.
kamen,383238,3833491;594863;796156,Zur Konfirmation kamen viele Verwandte.
unbedingt,8220452,978;1605883;8589366,Pack unbedingt deinen Badeanzug ein!
restaurant,6571435,7850610;4795886;9049195,Dieses Restaurant akzeptiert nur Bargeld.
laden,1791627,2410886;5166104;5561740,Ich habe Alexanders Laden betreten.
aufgabe,2692969,719128;3106456;1554733,"Talent ist eine Gabe, Charakter eine Aufgabe."
regnet,12717641,399778;9706431;7793527,Es schneit nicht: es regnet.
irgendwo,6096730,11551105;13460379;13790096,"Wenn irgendwo Pilze schmoren, wird der Kriminalist unwillkürlich hellhörig."
fernsehen,12384051,12463610;453984;3477249,Im Fernsehen lief irgendeine doofe Serie.
schwierigkeiten,2190021,3154550;7696951;2426993,Du steckst in gravierenden Schwierigkeiten.
gefühl,12405874,2125591;2942549;7783145,Schwarzweißfilme erwecken ein Gefühl der Nostalgie.
fliegen,4414985,3690280;726927;13842668,"Schmetterlinge, Käfer, Fliegen und Heuschrecken sind Insekten."
ach,12187700,812725;441621;2925206,"Ach, herzlichen Glückwunsch übrigens für deinen Erfolg!"
entschuldigen,8190737,2238053;9591215;9591306,Entschuldigen Sie. Können Sie das wiederholen?
danach,1958447,5037516;3559603;1252438,Danach beginnt die Innentemperatur rasch anzusteigen.
ruhig,2629463,2629465;10738421;379940,"Verhalte dich ruhig und bemühe dich, nicht aufzufallen!"
thema,3748191,1765719;1854121;9936422,Entwerfen Sie eine Unterrichtseinheit zum Thema „Quadratische Gleichungen“.
zeitung,13045895,4826642;662211;2290229,Cáit liest die Zeitung.
nett,13876733,1590628;1313738;3769439,Laßt uns alle nett zueinander sein!
verstand,10350586,2739130;1785968;2834724,Der sogenannte gesunde Verstand ist angeborene ignorantia.
versprochen,8684590,8684592;6936129;12221253,"Du hast versprochen, du wärest da."
klasse,2343733,2484178;2497954;4168294,Dies ist der Klassenlehrer der dritten Klasse.
leisten,8960036,2055311;400627;1680515,"Es ist zwecklos, Widerstand zu leisten!"
wahl,13917812,4059579;949311;682986,Die Wahl wurde verfassungswidrig annuliert.
sonntag,13891285,2369721;13659613;2509304,Am kommenden Sonntag ist Muttertag.
blick,2757430,2682604;935397;13705614,Er richtete seinen Blick gen Westen.
ehe,5661891,1949090;6770423;3035372,Auch die wilde Ehe zähmt.
party,13294763,7157882;772419;3846582,Der Gastgeber der Party hatte einen portugiesischen Akzent.
führen,1103380,11702660;9753457;13868719,Polnische Archäologen führen Ausgrabungen im Sudan durch.
firma,7577403,1434503;1977766;2327089,Diese Firma benötigt dringend einen Strukturwandel.
verkauft,838031,9843117;12825046;783279,Papierservietten verkauft man in Zehnerpackungen.
kochen,2182954,2741520;3270848;3802306,Arme Leute kochen dünne Grütze.
weh,2224063,2996352;2090417;400120,Die linke Schulter tut mir weh.
gewonnen,425600,10230457;10230458;3059464,Die Niederlande haben die Weltmeisterschaft 2010 gewonnen.
verletzt,1900173,5307386;6461036;1204046,Die Flanken des Pferdes sind verletzt.
fehlt,7065967,7632351;5328840;8233948,Ihm fehlt die fachliche Qualifikation.
mehrere,2423574,818314;818315;3140424,Im Tal lagen mehrere Bauernhäuser verstreut.
teuer,1339732,2216288;3755323;4460384,"Wer billig kauft, kauft teuer."
leiden,3257264,833367;9855489;2197218,Überstandner Leiden gedenkt man gern.
farbe,2854364,3869117;9968717;3081700,Cyan ist eine grünlich-blaue Farbe.
gefährlich,10906484,3457306;963791;3143285,Die moosbewachsenen Steine waren gefährlich rutschig.
hasse,399527,5064373;8511146;906394,"""Ich hasse Karotten."" ""Ich auch."""
schiff,13279420,1599689;1960871;6677199,Treibeis verursachte Schäden am Schiff.
seele,2790999,2293411;10551974;11733506,Diese schrecklichen Geschehnisse erschütterten seine Seele.
angefangen,1658994,12175011;1524583;927573,"Die Blätter haben angefangen, die Farben zu verändern."
bescheid,7770011,13382012;13382013;5611955,Sie hat telefonisch Bescheid gesagt.
deshalb,13531310,2253194;7844945;3395642,Deshalb verkaufte sie die Axt nicht.
körper,2683467,6448836;5244899;4820553,Im Körper entstehen ständig freie Radikale.
schmeckt,4980399,659486;1807823;728333,"Dieser Vigoron schmeckt köstlich, Juan!"
schau,1850506,2287817;3567433;8958982,"Schau, deine Schuhbänder sind lose!"
hauptstadt,3591431,6040966;951510;12834717,Priština ist die Hauptstadt Kosovos.
freiheit,5064404,7824135;10706325;2582979,"Freiheit beginnt, wo Ignoranz endet."
frühstück,13684922,1617551;3117214;6946488,Wir genießen sonntags ein gemächliches Frühstück.
miteinander,8860923,9473384;12126128;2071977,Sie trieben es unbändig miteinander.
interessant,6219136,7419677;8292930;6830257,Meine Sommerferien waren interessant und angenehm.
politiker,963765,11702660;9589400;4956653,Der Reporter übte Kritik am Politiker.
anfang,444499,5384396;1729970;3072723,Müßiggang ist aller Laster Anfang.
urlaub,1878493,4807423;2112036;917439,Sie machte Urlaub in Sri Lanka.
tanzen,6047319,867775;3003363;3327741,Jenny kann den Samba tanzen.
schloss,2722340,2722341;8641029;13910584,Die Großmutter schloss die knarrende Gartentür.
nachbarn,3423218,2450297;3495507;8897962,Mögliche WG-Nachbarn sollten das Schlimmste übereinander wissen.
ausland,596477,1762830;13850924;1709265,"Der Konzern plant, ins Ausland zu expandieren."
eier,2941994,469998;1370542;6392093,Ich koche italienische Nockerln ohne Eier.
wörterbuch,989744,7696930;11666295;3068966,Des Weiteren wird ein Wörterbuch vorausgesetzt.
ehrlich,1974868,1264101;10038510;6039665,"Ehrlich währt am längsten, schuftig lebt in Ängsten."
rot,379919,404380;4189403;5340131,Der Stoff war strahlend rot gefärbt.
anrufen,8647593,8914684;923592;13470182,Tom kann uns jederzeit anrufen.
frankreich,8560910,942396;7998887;13702025,"Versucht Frankreich, Algeriens Entwicklung zu verhindern?"
vereinigten,667404,6680894;733208;12432479,Die Vereinigten Staaten verfügen über reichhaltige Bodenschätze.
echt,2929472,8969903;912342;960342,Du hast echt ’n Knall!
tasse,1702655,729770;906146;4865641,Käme euch eine Tasse Tee gelegen?
bank,1004733,12711025;5322026;12991441,Die Bank schließt freitags spät.
lächeln,7164101,989571;2728252;9958224,"Nicken, lächeln – du Blödmann denken!"
erfahrung,1913613,7071216;414235;12986636,Dem jungen Ingenieur fehlte Erfahrung.
jedoch,2225444,8816285;10603464;1807823,"Menschen werden kuriert, Maschinen jedoch repariert."
funktioniert,3259509,12542282;7746816;7785419,Funktioniert dieser Motor mit Wechsel- oder mit Gleichstrom?
kirche,4829899,13408174;13738171;1923597,Der Papst möchte die Selbstbezogenheit der katholischen Kirche vermindern.
strand,1205819,2292650;3664008;13718921,Bob joggt oft am Strand.
geheimnis,341554,796950;1670179;10151981,Das Geheimnis wurde letztendlich gelüftet.
geist,1342106,5275306;5174520;3243968,Der Geist beherrscht die Materie.
passt,11065912,3097500;589909;8302117,Scharfe Sauce passt zu allem.
gebäude,13409787,455631;782141;8501253,Das Gebäude bedarf einer umfassenden Renovierung.
oben,4115168,8627351;1059295;11118795,Der Drache steigt nach oben.
nennen,10593438,11488172;394837;11804852,Die Muslime nennen Jesus Isa.
unmöglich,2499551,758126;5325874;2455702,Ein Entkommen war gänzlich unmöglich.
regierung,436072,13092129;13243584;11379022,Die Regierung ergriff entschlossene Maßnahmen gegen die Inflation.
letztes,1880464,1880462;9639758;595607,Helen hat letztes Jahr die Highschool abgeschlossen.
lehrerin,10121377,10121419;3661623;10033240,"Du sagtest, du wollest Lehrerin werden."
gesellschaft,2850297,1264890;13974437;1733633,Leidet die moderne Gesellschaft unter Schlafentzug?
selber,3163370,6935062;2163252;5395333,Unmögliche Dinge verbieten sich selber.
gefängnis,3703270,6105409;5377384;6207975,"Manche Arbeitgeber zögern, kürzlich aus dem Gefängnis Entlassene einzustellen."
dagegen,6553540,1246927;4843875;12714140,"Erbsensuppe isst man mit Zwieback, Borschtsch dagegen mit Knoblauchpfannküchlein."
offen,3013101,3104624;8295265;8857934,"Die Wahrheit, offen ausgesprochen, schmerzt."
onkel,10119462,1228155;658239;8619043,Mein Onkel spielt hobbymäßig Kricket.
legte,8692989,8846402;10033462;11548150,Karl legte seine Waffe an.
chance,4048861,4803841;6156555;2702022,Ich werde die Chance wahrnehmen.
bloß,3844607,7765228;7860149;10711169,"Wagt bloß nicht, dort hinzugehen."
eingeladen,7460476,8173981;8403538;6461031,Wir sind zur Eröffnungszeremonie eingeladen.
lustig,2215282,3444281;9928228;10539176,Lustig in Ehren darf niemand verwehren.
mühe,1340034,10290204;3028218;6967816,Der Friede ist der täglichen Mühe wert.
wünsche,8001796,4909384;5966605;7457396,Ich wünsche einen wunderschönen Vatertag.
öffnen,10232089,10032140;1698944;3105046,Die Schulen öffnen voraussichtlich wieder im September.
studenten,1944164,2934959;343080;756068,Die ärgsten Studenten werden die frömmsten Prediger.
see,11373158,11504895;11778688;10190027,Der See glänzte im hellen Sonnenlicht.
zahlen,11802100,13079326;1904582;956031,Jakob wählte vier Zahlen aus.
traurig,903001,10165397;12405544;7769588,"Ich war traurig, als ich aufstand."
sobald,7876131,11783763;1775235;12197867,"Er verspricht anzurufen, sobald er angekommen ist."
geschlossen,6719517,6917338;7838588;9198141,Die Geschäfte sind sonntags geschlossen.
brille,5127894,5654996;2749416;11564290,Momentchen! Ich muss die Brille aufsetzen.
folgen,368637,12684179;13918665;10133287,Jagdhunde folgen der Beute mittels ihres ausgeprägten Geruchssinns.
vogel,9135436,979443;2161215;3072753,Der Vogel frisst kleine Insekten.
einander,7743162,1944881;2829277;1019669,Esperantisten nennen einander oft „Genossen“.
flugzeug,9994873,9789738;12301868;1003639,Übergepäck im Flugzeug kostet Aufpreis.
hierher,410986,4197990;7293029;1398380,Zahlreiche berühmte Leute kommen hierher.
solange,1256928,2569661;369562;6195443,"Man hofft, solange man lebt."
apfel,12423455,2926733;3557354;4061432,Den Apfel in Würfel schneiden!
kino,9136072,12114175;8654964;12030125,Tom ging sonntags ins Kino.
geschäft,2724958,5166102;13909097;6571406,Dieses Geschäft ist günstig gelegen.
thomas,8898147,351759;5766268;8687927,Thomas verließ die Versammlung frühzeitig.
weihnachten,7637389,8591473;9044466;11401694,"Wenn Weihnachten, dann George Michael."
nase,3278708,5201781;5897309;8642598,Ein Schweißtropfen rann seine Nase hinunter.
gefahr,1698944,3226557;5287159;5705050,Achtung: Stromschlag-Gefahr. Nicht öffnen!
schrieb,7897223,2913378;13193867;8641012,Tom schrieb seiner Herzallerliebsten Gedichte.
beantworten,2446470,352785;6715099;12448645,Er muss Kens Brief beantworten.
frieden,13976386,12613304;741507;5982268,Ein Frieden ohne Gerechtigkeit ist lediglich ein Waffenstillstand.
jemals,3393933,12629681;3311631;637889,Werden Computer-Übersetzungssysteme jemals menschliche Übersetzer ersetzen?
lügen,4748155,5371834;444862;12976578,Die Fakten strafen seine Behauptung Lügen.
ans,8648395,9583760;11535162;7741507,Sami schwamm zurück ans Ufer.
eis,10303657,13278611;5599314;2125261,Tom wandelt auf dünnem Eis.
mond,12931708,4657276;789082;1434495,Der Mond erleuchtete unseren Hof.
schlaf,1769157,5616900;894799;4932693,Schlaf nicht so dünn angezogen!
europa,13941562,3123462;12441160;596054,Laut Kriegstreibern kann Putin Europa angreifen.
raus,10675590,4067984;4067985;9667066,Ich trage die Mistkübel raus.
teufel,6946182,3270807;614734;613178,Der Teufel sitzt vorm Paradies.
lösung,758815,3841955;9211328;441772,Sie hatte eine mögliche Lösung parat.
mut,2392929,4882697;2406774;2701243,"Man kann Vorsicht Furcht, man kann Mut Leichtfertigkeit nennen."
amerika,820189,943261;486859;737382,Wir importieren Mehl aus Amerika.
verhalten,1344548,12983908;9171804;1267621,Ein solches Verhalten erscheint in höchstem Maße tadelnswert.
spazieren,452246,4964251;1457755;12495700,Estella und ich gehen spazieren.
vorstellen,9960388,342310;12635366;1436951,Lassen Sie mich Sie Schwester Tanaka vorstellen.
bibliothek,5969549,11993452;1550527;6740438,"Bürschchen, lärme nicht in der Bibliothek!"
studieren,913555,2860435;11148473;10688151,Sie wird ab nächstem Frühjahr studieren.
rief,1929823,403274;2453103;2166492,Die Neuigkeit rief große Verwirrung hervor.
enttäuscht,6688664,9984541;8596400;7917953,Tom war aufs höchste enttäuscht.
mittagessen,2831424,7876864;2126121;2682908,Ich werde unsere gemeinsamen Mittagessen vermissen.
übersetzung,655375,724277;8616121;2331537,Warum ist maschinelle Übersetzung nutzlos?
hängt,8370294,9251223;907716;759108,Mitte hängt vom Standpunkt ab.
politik,5790272,11151391;12363460;2451890,Tom hasste die kanadische Politik.
still,2743741,2754334;571653;2389753,Ringsum liegen Wälder unendlich weit und unendlich still.
messer,1453177,2650140;4888247;12351749,Der Metzger schärfte die Messer.
na,13931685,8173403;13970358;1800134,"„Na, ist das was?“ – „’ne Wucht ist das!“"
finger,5337457,841356;8799027;660982,Ihre langgliedrigen Finger haben Ähnlichkeit mit Spinnenbeinen.
kennengelernt,8933628,10010155;12420364;13849472,Wie haben Sie sie kennengelernt?
vögel,8696606,13746127;5611869;4264761,"Adler, Rabe, Eule, Kormoran, Lerche und Falke sind Vögel."
mittag,1401949,9956501;1881111;4870419,Heute Mittag gab es Strammen Max.
erkennen,3860400,1309506;3860401;353299,Ich kann kein Muster erkennen.
beispiel,8627351,9689203;1944891;5374465,Siehe das oben angeführte Beispiel.
ruf,13729120,2206659;4882863;11093683,Tom genießt einen ausgezeichneten Ruf.
trotzdem,2056910,1000115;2234228;1811643,Ich bin trotzdem riesig stolz.
tennis,767269,5388904;6000989;974889,Johann hat ein Naturtalent für Tennis.
zucker,13701124,1662947;352540;6108020,Du verwendest verdammt viel Zucker.
gelegenheit,2475067,1920912;401091;444472,Eine günstige Gelegenheit zieht Verbrecher magisch an.
regeln,12681439,1433946;2129932;4834971,Du versuchst blöde Regeln zu befolgen.
angelegenheit,3755310,8887028;11078422;2384686,Auswanderung ist eine ernste Angelegenheit.
kraft,5829080,13407658;1948812;10816612,Krieg ist Friede. Freiheit ist Sklaverei. Unwissenheit ist Kraft.
entfernt,419082,762210;4023262;11697871,Die Bushaltestelle ist 10 Gehminuten entfernt.
geschickt,9000521,13310869;9057121;986128,Zwei Feuerwehrzüge wurden zum Brandort geschickt.
krankheit,6051116,8861712;9788632;7747952,Skepsis ist eine chronische Krankheit.
großvater,1851139,2179211;4552994;5417640,Bob begegnete ihrem Großvater am frühen Morgen.
foto,483492,2998768;4645793;910490,Dieses Foto wurde in Nara aufgenommen.
hundert,13985969,2182671;3934915;13985973,Ein Rubel entspricht hundert Kopeken.
süß,655337,660454;7088655;4870423,Mary ist süß. Jane ebenfalls.
unternehmen,8262238,907835;12632239;13930568,Samsung ist ein koreanisches Unternehmen.
leuten,8599079,771062;7419730;1921766,Ich bin von ungerechten Leuten umgeben.
schönheit,1422178,4943697;2802240;2550651,"Der Begriff ""Schönheit"" entzieht sich jedwedem Definitionsversuch."
ohren,1402752,3203129;1727031;3076639,Seine Ratschläge stießen auf taube Ohren.
china,4849182,2533226;13711856;13711858,"China und Polen beabsichtigen, ihre strategische Partnerschaft auszubauen."
schlug,444483,1630680;3367388;6461006,Die Armee schlug den Aufstand nieder.
nachts,5020409,776057;9472559;759108,Er schläft tags anstatt nachts.
schließlich,5610332,8311352;3416741;5488139,Schließlich unterschrieb Tom das Dokument.
tief,7841208,12662981;2224627;2493154,Das Publikum war tief ergriffen.
rücken,9237097,11881391;12816265;11881390,Tom klopfte Michel auf den Rücken.
erhalten,2874722,8301803;9846519;13395841,Familien mit Kindern erhalten Familienleistungen.
papa,3104189,583018;7530352;9257128,"Herzlichen Glückwunsch zum Geburtstag, Papa!"
augenblick,2707752,4873493;2435403;5059762,In diesem Augenblick erwachten meine Urinstinkte.
indem,4919204,5187413;6110595;10462834,"Bedenke, womit du dich einverstanden erklärst, indem du schweigst."
zuhause,695471,896989;12593324;4701164,Ich sah Andrea von zuhause weggehen.
deswegen,8547367,876892;2309686;12602743,Man hat mich deswegen kritisiert.
klug,9331257,9944989;2531485;3962839,Meine Klassenkameradin ist sehr klug.
stein,13440336,13440337;455300;5321091,Der Tausendfüßler kroch einen moosbewachsenen Stein hinauf.
großmutter,7242302,2722340;2722341;4785288,Großmutter betreut tagsüber die Kinder.
zweiten,2626246,2966538;10752349;1275422,"Warum verbrannte Gogol den zweiten Band der ""Toten Seelen""?"
feier,11101362,2767932;4584938;8826446,Die Feier geriet aus dem Ruder.
küssen,8631816,12358318;12358320;4333601,Küssen kann den Virus verbreiten.
vorsichtig,1731418,13535354;783397;8898099,Mit Schießpulver muss man überaus vorsichtig umgehen.
zwanzig,1391148,708489;912460;13010667,Anton raucht zwanzig Zigarren am Tag.
ungefähr,7818654,799106;5962323;2485010,Ungefähr dreißig Jugendliche nahmen teil.
schlief,1129993,11809832;9117622;13564322,"Als Markus ankam, schlief ich."
erledigen,5994108,5994110;12595181;9685362,Lass mich die unangenehmen Aufgaben erledigen.
gilt,5064299,1343391;401436;7778277,"Aufgrund des Kommutativgesetzes gilt -(-x) = x, 1/(1/x) = x ."
insel,13493257,13713342;2330164;2330169,Der Wetterdienst stationierte Mitarbeiter auf der Insel.
tränen,8728386,801105;8500317;8642275,Zwei Tränen rannen ihre Wangen hinab.
schweigen,3261179,2469463;10493345;1383477,Einige Augenblicke lang herrschte vielsagendes Schweigen.
eben,7128537,12484550;517951;2455702,Sie haben eben ihre Verlobung bekanntgemacht.
eindruck,1827775,11985149;7339574;7806948,Mindestens haltbar bis ... siehe Eindruck im Deckel.
allzu,4140673,5702349;10725817;1890332,Du scheinst nicht allzu begeistert.
kümmern,399925,6643568;784207;3395488,Lass mich mich darum kümmern.
aufgrund,13400816,4387815;5064299;757174,Aufgrund der Dürre verhungert das Vieh der Region.
träume,6569292,804855;11593431;5392524,Goldene Träume lassen hungrig aufwachen.
wirklichkeit,8217934,13878269;2469462;3703868,"Du versuchst lediglich, der Wirklichkeit zu entfliehen."
kleidung,10190105,6109271;922030;3545842,Laura achtet akribisch auf ihre Kleidung.
wieso,11998152,13664533;8813482;979674,Wieso sind Schweine nicht koscher?
langweilig,4803224,4949893;604922;11549821,"Du bist nicht schüchtern, du bist langweilig!"
vergangenheit,8224039,7953950;1263895;9635506,"Wer die Vergangenheit ignoriert, gefährdet die Zukunft."
dame,2456953,4443511;4697933;1643869,Ich begegnete einer älteren Dame.
entscheiden,2665492,3050395;7105093;834908,Das wird der Vorstand entscheiden.
stets,3029482,2138312;8301819;1185828,Detektiv Columbo trägt stets einen abgenutzen Regenmantel.
flughafen,11881478,11881480;11881482;11881484,Matthew holte Linda am Flughafen ab.
warm,344479,13715517;13715518;5956542,Diese Handschuhe hielten ihre Hände warm.
suppe,7362736,925039;5059756;5059757,Toms Suppe schmeckte überraschend gut.
hemd,6865497,948261;5871035;882641,Dein buntes Hemd ist echt auffallend.
oktober,3697235,7085220;8080208;6373333,Sputnik wurde am 4. Oktober 1957 gestartet.
schließen,1172585,7201550;7273984;704624,Sherlock Holmes konnte vieles aus den kleinsten Kleinigkeiten schließen.
gesetz,5763145,582231;1870883;783083,Das Gesetz bestraft den Verleumder.
pass,3097499,8302116;2664243;369984,Pass auf die Fußgänger auf!
mantel,3226125,5913742;642309;1038051,Der Schneider wendete den Mantel.
wand,3511451,3643084;371756;6619934,Die Wand wurde gelb gestrichen.
roman,1466939,4784167;5941467;404179,Dieser Roman vergrößerte seinen Ruhm.
feind,755453,2482427;9814764;426457,Der Feind bombardierte die Fabrik.
unterhalten,13857193,7267667;1550708;4454546,Wir haben uns ausführlich unterhalten.
liste,8679571,2680304;11592813;1765952,Könntest du diese Liste alphabetisch sortieren?
daher,4375079,6375260;7452689;7869078,Red nicht so geschwollen daher!
zweimal,367994,3976948;1008030;10544708,"Also, zweimal rechts abbiegen, gell?"
fürchte,5298863,8108256;10714265;725437,"Ich fürchte, ich werde deinen Zorn erregen."
normalerweise,3691170,4453561;8631808;1507886,Nudeln werden normalerweise aus Weizenmehl hergestellt.
brücke,7141457,3002355;5731262;6013491,Ein LKW blockierte die Brücke.
zähne,8784172,4002394;6798094;7530888,Karl putzt sich die Zähne.
baby,449208,614150;6622901;646861,Sie gebar ein gesundes Baby.
form,3371441,1490662;2467543;2349007,Monosaccharide sind Kohlenhydrate der einfachsten Form.
freundlich,2079210,2664178;2454563;6216177,"Besser freundlich versagen, als unwillig gewähren."
klavier,6021201,13427209;825048;575882,Das Klavier war verstimmt; es klang fürchterlich.
versuch,8934559,8628867;13773668;13773669,"Versuch mal, es andersrum reinzustecken."
sowohl,8244539,2737405;792457;2000599,Sie verschafften ihr sowohl geistige als auch materielle Unterstützung.
schreibtisch,1104154,11721132;11934543;1372288,Meg räumte den Schreibtisch auf.
rein,2972376,6393156;1706598;6935801,Schwing deinen Arsch hier rein!
oh,635254,1701420;1701421;1237505,"Oh, ewige Anfänger, mischt euch nicht ein!"
entschieden,477266,7532403;12404557;10294576,"Sie entschieden, die Diskussion zu beenden."
berg,6312196,6377099;1737284;5843131,Der höchste Berg Sloweniens ist der Triglav.
euro,6112746,774219;12482163;1787417,"Tausend südkoreanische Won entsprechen etwa 0,80 Euro."
hart,1948751,3394714;12703025;1953553,Hart verdientes Geld geht zäh heraus.
hallo,6059954,632463;632464;12532004,„He!“ – „Hallo!“ – „Was gibt's?“ – „Nichts.“
hälfte,12994293,361525;10946618;9968606,Fünftausend ist die Hälfte von zehntausend.
leihen,4329506,13898025;1712192;1712233,Darf ich dein Mobiltelefon leihen?
verändert,1385111,544621;5866987;2681164,Verändert Wut die Farbe des Halses?
kaputt,3138269,408687;729770;7532443,Das Ladegerät meines Mobiltelefons ist kaputt.
unterricht,11031587,1901208;4453489;12369784,Er gestaltet den Unterricht lebendig.
reichen,10538404,2182933;3865105;1927228,"Sie träumt von reichen, gutaussehenden Typen."
flasche,2405975,2732719;6140578;760215,Diese Flasche fasst einen Dreiviertelliter.
schwarz,371824,7930845;8290891;719877,Der Toast war schwarz verkohlt.
entschuldigung,4954965,5065546;10135513;12472390,Sie boten ihre aufrichtige Entschuldigung an.
betrunken,10576943,12791792;6972115;6972116,Sie haben betrunken getanzt und gesungen.
wählen,2782655,6316343;7869423;13917758,Etwas wählen heißt etwas aufgeben.
tatsächlich,3776757,4089331;748306;10250125,Tatsächlich hat Grant nicht eingewilligt.
gesund,13698759,12164939;10129843;9531452,"Schweineschmalz ist gesund, Margarine ist es nicht."
trotz,2280478,2799913;368217;10362626,Trotz Kostenexplosion wird das Bauvorhaben realisiert.
fühlen,10700746,11445214;11778730;5261852,Millionen Russen fühlen sich betrogen und entmutigt.
gestellt,1708662,3629812;834905;9932344,Sie versorgen sich gänzlich auf sich gestellt.
london,10191002,2006097;9777116;450671,Ist Warschau billiger als London?
stuhl,3180517,882371;9928250;12824244,Dieser Stuhl wurde aus wiederverwertetem Material gefertigt.
koffer,5174173,946185;10111281;835142,Zieh den Gurt um den Koffer fest!
volk,2756954,7021009;770462;4882870,Glückwünsche dem israelischen Volk zum 65. Staatsjubiläum!
verbringen,2763787,5971952;9031891;1717809,Wie verbringen Sie Ihre Freitzeit?
leer,12126085,12936099;407638;6316397,Das Wartezimmer war komplett leer.
fort,3790771,3893865;818317;1040956,Wir setzten die Diskussion fort.
warf,11199631,12599470;2714390;13069436,Der Pizzabäcker warf den Teig.
bedeutung,13892507,1754982;6811713;2362716,Erschließen Sie die Bedeutung des Wortes mithilfe des Kontexts.
